HashEncode_0,HashEncode_1,HashEncode_2,HashEncode_3,HashEncode_4,HashEncode_5,HashEncode_6,HashEncode_7,companyid,Round_trip,ProfitMargin(%),Scaled_gross_log,Scaled_Distance_log,Scaled_FlightTime_log,Country_France,Country_Germany,Country_Italy,Country_Monaco,Country_Other,Country_Sweden,Country_Switzerland,Country_Turkey,Country_United Kingdom,Country_United States,Product_Tour Ops,passengersRange_1,passengersRange_2,passengersRange_3,categ_aircraft,categ_0,categ_1,categ_2,categ_3,categ_4,categ_5,Class
0,0,0,1,0,0,1,0,3573,0,1,0.5315422693043295,0.4896728246274321,0.4402273532863391,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2733.336093,0.0,0.0,0.0,0.0,0.0,0
0,0,0,1,0,0,1,0,3573,0,1,0.5315422693043295,0.4896728246274321,0.4499923169774957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2733.336093,0.0,0.0,0.0,0.0,0.0,0
0,0,0,1,1,0,0,0,3020,1,0,0.2747611805978204,0.5829509222452636,0.5750121092887127,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,555.71,2
0,0,0,0,1,0,1,0,3194,1,2,0.5907487803528878,0.5287650948755455,0.5630256679682311,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,3946.5084049999996,0.0,0.0,0.0,0.0,0
0,0,0,1,1,0,0,0,3793,1,0,0.4712170047327514,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.004049,0.0,2
0,0,0,1,1,0,0,0,3793,1,0,0.4712170047327514,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.004049,0.0,2
0,0,0,1,1,0,0,0,3793,1,0,0.4712170047327514,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.004049,0.0,2
0,0,0,1,1,0,0,0,3793,1,0,0.4712170047327514,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.004049,0.0,2
0,0,0,1,1,0,0,0,3793,1,0,0.4712166575740056,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.0,0.0,2
0,0,0,1,1,0,0,0,3793,1,0,0.4712166575740056,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.0,0.0,2
0,0,0,1,1,0,0,0,3793,1,0,0.4712166575740056,0.433900468697524,0.4715405657902878,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.0,0.0,2
