Accountid,enqid,product,brokercountry,owner,qtq_firstflightdate,Grossprofit
764,82,CJ,Austria,MTRULL,2016-08-22 00:00:00,26920.811244
587,83,Tour Ops,Germany,PSPCGN,2016-05-19 00:00:00,7210.386933
391,84,Tour Ops,Germany,PSPCGN,2016-09-19 00:00:00,9311.774773
816,85,CJ,Germany,SDROBJ,2016-03-02 00:00:00,969.743988
351,86,CJ,USA,SMOORE,2016-02-09 00:00:00,28774.540408
68,87,CJ,France,ALAUNA,2016-05-05 00:00:00,2374.825565
577,88,CJ,Austria,BEGGER,2016-06-07 00:00:00,812.755857
343,89,CJ,United Kingdom,CGRANT,2016-04-25 00:00:00,29459.892858
658,90,CJ,Austria,MGERNE,2016-05-26 00:00:00,6589.1294
655,91,CJ,France,KRIGHI,2016-05-26 00:00:00,3364.779575
813,92,CJ,Germany,SDROBJ,2016-02-22 00:00:00,14093.901262
552,93,CJ,France,CBOUGE,2016-03-17 00:00:00,3650.364625
50,94,CJ,Austria,BEGGER,2016-06-30 00:00:00,1574.983359
823,95,CJ,United Kingdom,MHOLT,2016-02-09 00:00:00,64378.48
823,96,CJ,United Kingdom,MHOLT,2016-02-18 00:00:00,52028.33
823,97,CJ,United Kingdom,MHOLT,2016-03-01 00:00:00,63829.99
823,98,CJ,United Kingdom,MHOLT,2016-03-17 00:00:00,51884.69
823,99,CJ,United Kingdom,MHOLT,2016-03-22 00:00:00,68987.25
823,100,CJ,United Kingdom,MHOLT,2016-03-29 00:00:00,63834.14
664,101,CJ,France,DHOPFG,2016-06-02 00:00:00,6502.560512
652,102,CJ,Austria,BEGGER,2016-05-10 00:00:00,2757.9686
593,103,CJ,Germany,IMUTLU,2016-07-18 00:00:00,0.0
446,104,CJ,France,KRIGHI,2016-07-15 00:00:00,25658.854705
66,105,CJ,France,DHOPFG,2016-09-09 00:00:00,427.862399
482,106,CJ,United Kingdom,CGRANT,2016-06-06 00:00:00,5735.526666
343,107,CJ,United Kingdom,CGRANT,2016-06-13 00:00:00,33463.086898
382,108,CJ,Austria,BEGGER,2016-05-20 00:00:00,3657.104346
66,109,CJ,France,DHOPFG,2016-05-05 00:00:00,428.57596
472,110,CJ,France,CBOUGE,2016-05-16 00:00:00,6686.02918
544,111,CJ,Italy,EMEAZZ,2016-06-10 00:00:00,11294.847854
557,112,CJ,France,ALAUNA,2016-05-12 00:00:00,8957.746594
693,113,Tour Ops,Italy,DROSA,2016-04-29 00:00:00,10258.45092
776,114,CJ,Austria,MGERNE,2016-09-16 00:00:00,3594.044156
694,115,CJ,Austria,BEGGER,2016-05-18 00:00:00,2537.266096
716,116,CJ,Austria,BEGGER,2016-06-10 00:00:00,2412.639116
791,117,CJ,Austria,MTRULL,2016-10-24 00:00:00,19107.273719
554,118,CJ,Germany,SDROBJ,2016-04-22 00:00:00,5526.201947
762,119,CJ,United Kingdom,CGRANT,2016-02-02 00:00:00,15453.046051
10,120,CJ,United Kingdom,NCOOPE,2016-06-03 00:00:00,1877.531048
615,121,CJ,United Kingdom,PTODHU,2016-09-01 00:00:00,8031.500142
337,122,Tour Ops,Italy,DROSA,2016-04-29 00:00:00,2332.836181
531,123,Tour Ops,Austria,BEGGER,2016-06-04 00:00:00,996.186475
66,124,CJ,France,DHOPFG,2016-03-01 00:00:00,232.738557
