Accountid,enqid,product,brokercountry,owner,qtq_firstflightdate,Grossprofit
779,1403,Tour Ops,France,TELFAS,2016-09-19 00:00:00,841.091904
779,1404,Tour Ops,France,TELFAS,2016-09-26 00:00:00,801.206572
779,1405,Tour Ops,France,TELFAS,2016-10-03 00:00:00,503.77133
370,1406,CJ,United Kingdom,DTUGWE,2016-07-22 00:00:00,751.472614
105,1407,CJ,France,DHOPFG,2016-07-06 00:00:00,1151.672862
807,1408,CJ,Germany,CJUDIC,2016-05-24 00:00:00,3801.141771
563,1409,Tour Ops,Italy,ABETTO,2016-06-05 00:00:00,3002.27255
563,1410,Tour Ops,Italy,ABETTO,2016-06-12 00:00:00,3012.67803
563,1411,Tour Ops,Italy,ABETTO,2016-06-19 00:00:00,2252.027397
563,1412,Tour Ops,Italy,ABETTO,2016-06-26 00:00:00,3015.923418
563,1413,Tour Ops,Italy,ABETTO,2016-07-03 00:00:00,3058.443409
563,1414,Tour Ops,Italy,ABETTO,2016-07-10 00:00:00,3294.154867
563,1415,Tour Ops,Italy,ABETTO,2016-07-17 00:00:00,2372.577712
563,1416,Tour Ops,Italy,ABETTO,2016-07-24 00:00:00,2374.824015
563,1417,Tour Ops,Italy,ABETTO,2016-07-31 00:00:00,2387.384324
563,1418,Tour Ops,Italy,ABETTO,2016-08-07 00:00:00,2515.753598
563,1419,Tour Ops,Italy,ABETTO,2016-08-14 00:00:00,2550.525962
563,1420,Tour Ops,Italy,ABETTO,2016-08-21 00:00:00,2568.097281
563,1421,Tour Ops,Italy,ABETTO,2016-08-28 00:00:00,2570.25162
563,1422,Tour Ops,Italy,ABETTO,2016-09-04 00:00:00,2598.79343
563,1423,Tour Ops,Italy,ABETTO,2016-09-11 00:00:00,2595.832622
563,1424,Tour Ops,Italy,ABETTO,2016-09-18 00:00:00,2601.506077
326,1425,Tour Ops,Italy,ALONGH,2016-05-13 00:00:00,3080.58199
106,1426,CJ,France,DHOPFG,2016-12-10 00:00:00,4390.614155
710,1427,CJ,France,KRIGHI,2016-10-06 00:00:00,76228.19113
343,1428,CJ,United Kingdom,CGRANT,2016-06-15 00:00:00,42178.210529
762,1429,CJ,United Kingdom,CGRANT,2016-04-05 00:00:00,9439.519276
48,1430,CJ,Italy,SKOSEK,2016-05-06 00:00:00,3563.907392
49,1431,Tour Ops,United Kingdom,LBARBE,2016-04-01 00:00:00,198.59
122,1432,CJ,Germany,SDROBJ,2016-09-13 00:00:00,22031.362316
531,1433,Tour Ops,Austria,BEGGER,2016-06-05 00:00:00,778.270683
563,1434,Tour Ops,Italy,ABETTO,2016-05-29 00:00:00,3525.444023
85,1435,Tour Ops,Italy,ABETTO,2016-06-12 00:00:00,927.410694
562,1436,Tour Ops,Italy,SKOSEK,2016-08-03 00:00:00,1494.656232
562,1437,Tour Ops,Italy,SKOSEK,2016-08-10 00:00:00,1522.140873
562,1438,Tour Ops,Italy,SKOSEK,2016-08-17 00:00:00,1498.493646
704,1439,CJ,Germany,SDROBJ,2016-11-05 00:00:00,6497.303813
522,1440,CJ,Italy,SKOSEK,2016-05-10 00:00:00,500.919759
704,1441,CJ,Germany,SDROBJ,2016-11-26 00:00:00,6172.163199
522,1442,CJ,Italy,SKOSEK,2016-05-17 00:00:00,564.097685
522,1443,CJ,Italy,SKOSEK,2016-05-24 00:00:00,500.919759
90,1444,CJ,Italy,DROSA,2016-05-15 00:00:00,1030.764352
409,1445,Tour Ops,Italy,ABETTO,2016-06-05 00:00:00,76.862014
593,1446,CJ,Germany,IMUTLU,2017-04-11 00:00:00,2202.833449
440,1447,CJ,Italy,DROSA,2016-08-20 00:00:00,2986.400739
563,1448,Tour Ops,Italy,ABETTO,2016-06-05 00:00:00,3391.267801
563,1449,Tour Ops,Italy,ABETTO,2016-06-05 00:00:00,1237.286947
563,1450,Tour Ops,Italy,ABETTO,2016-06-20 00:00:00,585.897733
563,1451,Tour Ops,Italy,ABETTO,2016-06-27 00:00:00,-1e-06
563,1452,Tour Ops,Italy,ABETTO,2016-07-04 00:00:00,0.0
563,1453,Tour Ops,Italy,ABETTO,2016-07-11 00:00:00,1e-06
563,1454,Tour Ops,Italy,ABETTO,2016-07-18 00:00:00,386.403541
563,1455,Tour Ops,Italy,ABETTO,2016-07-25 00:00:00,505.212371
398,1456,CJ,Germany,SDROBJ,2016-05-22 00:00:00,325.087218
326,1457,Tour Ops,Italy,ALONGH,2016-05-20 00:00:00,3395.012683
632,1458,CJ,Austria,BEGGER,2016-06-24 00:00:00,4669.624096
563,1459,Tour Ops,Italy,ABETTO,2016-08-01 00:00:00,855.928637
563,1460,Tour Ops,Italy,ABETTO,2016-08-08 00:00:00,733.79618
563,1461,Tour Ops,Italy,ABETTO,2016-08-15 00:00:00,693.006819
563,1462,Tour Ops,Italy,ABETTO,2016-08-22 00:00:00,731.625012
563,1463,Tour Ops,Italy,ABETTO,2016-08-29 00:00:00,803.559708
563,1464,Tour Ops,Italy,ABETTO,2016-09-05 00:00:00,496.602772
563,1465,Tour Ops,Italy,ABETTO,2016-09-12 00:00:00,473.677905
563,1466,Tour Ops,Italy,ABETTO,2016-09-19 00:00:00,413.914085
563,1467,Tour Ops,Italy,ABETTO,2016-09-26 00:00:00,390.886531
563,1468,Tour Ops,Italy,ABETTO,2016-10-03 00:00:00,-92.713311
345,1469,CJ,France,ALAUNA,2016-06-07 00:00:00,1730.881783
563,1470,Tour Ops,Italy,ABETTO,2016-10-10 00:00:00,-124.999998
563,1471,Tour Ops,Italy,ABETTO,2016-10-17 00:00:00,-130.230377
563,1472,Tour Ops,Italy,ABETTO,2016-10-24 00:00:00,-137.431742
563,1473,Tour Ops,Italy,ABETTO,2016-10-31 00:00:00,-100.401025
548,1474,Tour Ops,United Kingdom,LBARBE,2016-05-28 00:00:00,132.0
548,1475,Tour Ops,United Kingdom,LBARBE,2016-06-04 00:00:00,528.0
548,1476,Tour Ops,United Kingdom,LBARBE,2016-07-02 00:00:00,660.0
548,1477,Tour Ops,United Kingdom,LBARBE,2016-08-06 00:00:00,528.0
548,1478,Tour Ops,United Kingdom,LBARBE,2016-09-03 00:00:00,528.0
548,1479,Tour Ops,United Kingdom,LBARBE,2016-06-04 00:00:00,528.0
548,1480,Tour Ops,United Kingdom,LBARBE,2016-07-02 00:00:00,660.0
548,1481,Tour Ops,United Kingdom,LBARBE,2016-08-06 00:00:00,528.0
548,1482,Tour Ops,United Kingdom,LBARBE,2016-09-03 00:00:00,396.0
396,1483,CJ,Austria,MTRULL,2016-06-22 00:00:00,33333.557517
396,1484,CJ,Austria,MTRULL,2016-06-29 00:00:00,13970.97435
621,1485,CJ,France,SFEILL,2017-03-08 00:00:00,1864.694197
396,1486,CJ,Austria,MTRULL,2016-07-06 00:00:00,15859.914577
563,1487,Tour Ops,Italy,ABETTO,2016-07-25 00:00:00,-2e-06
563,1488,Tour Ops,Italy,ABETTO,2016-08-01 00:00:00,906.530337
563,1489,Tour Ops,Italy,ABETTO,2016-08-08 00:00:00,765.261296
563,1490,Tour Ops,Italy,ABETTO,2016-08-15 00:00:00,719.372212
563,1491,Tour Ops,Italy,ABETTO,2016-08-22 00:00:00,740.452746
563,1492,Tour Ops,Italy,ABETTO,2016-08-29 00:00:00,964.369266
563,1493,Tour Ops,Italy,ABETTO,2016-09-05 00:00:00,-1e-06
563,1494,Tour Ops,Italy,ABETTO,2016-06-14 00:00:00,1351.646044
48,1495,CJ,Italy,DROSA,2016-05-29 00:00:00,1353.869331
563,1496,Tour Ops,Italy,ABETTO,2016-06-21 00:00:00,626.274419
563,1497,Tour Ops,Italy,ABETTO,2016-06-28 00:00:00,1598.513502
563,1498,Tour Ops,Italy,ABETTO,2016-07-05 00:00:00,551.119197
563,1499,Tour Ops,Italy,ABETTO,2016-07-12 00:00:00,691.892747
563,1500,Tour Ops,Italy,ABETTO,2016-07-19 00:00:00,629.660681
563,1501,Tour Ops,Italy,ABETTO,2016-07-26 00:00:00,675.757335
563,1502,Tour Ops,Italy,ABETTO,2016-08-02 00:00:00,732.071026
563,1503,Tour Ops,Italy,ABETTO,2016-08-09 00:00:00,731.625011
563,1504,Tour Ops,Italy,ABETTO,2016-08-16 00:00:00,740.276024
563,1505,Tour Ops,Italy,ABETTO,2016-08-23 00:00:00,773.668266
563,1506,Tour Ops,Italy,ABETTO,2016-08-30 00:00:00,749.844316
563,1507,Tour Ops,Italy,ABETTO,2016-09-06 00:00:00,710.807804
649,1508,Tour Ops,Italy,ABETTO,2016-06-11 00:00:00,2159.467664
649,1509,Tour Ops,Italy,ABETTO,2016-06-18 00:00:00,2102.521598
649,1510,Tour Ops,Italy,ABETTO,2016-06-25 00:00:00,2085.080552
649,1511,Tour Ops,Italy,ABETTO,2016-07-02 00:00:00,2027.129638
649,1512,Tour Ops,Italy,ABETTO,2016-07-09 00:00:00,2198.141264
649,1513,Tour Ops,Italy,ABETTO,2016-07-16 00:00:00,2178.826228
649,1514,Tour Ops,Italy,ABETTO,2016-07-23 00:00:00,2189.788816
649,1515,Tour Ops,Italy,ABETTO,2016-07-30 00:00:00,2195.531124
629,1516,CJ,United Kingdom,MHOLT,2016-05-29 00:00:00,7950.0
16,1517,CJ,United Kingdom,NCOOPE,2017-04-05 00:00:00,5891.187663
756,1518,CJ,France,KRIGHI,2016-05-22 00:00:00,1330.172709
38,1519,CJ,United Kingdom,NCOOPE,2016-07-08 00:00:00,5441.076143
818,1520,CJ,Germany,SDROBJ,2016-05-12 00:00:00,2157.865524
637,1521,CJ,Italy,ALONGH,2016-07-09 00:00:00,4113.461996
530,1522,Tour Ops,France,TELFAS,2016-06-09 00:00:00,840.104287
5,1523,CJ,USA,SMOORE,2016-06-30 00:00:00,6887.526689
109,1524,CJ,Italy,DROSA,2016-07-09 00:00:00,1781.222811
60,1525,CJ,United Kingdom,JCAVAL,2017-04-24 00:00:00,4443.701099
649,1526,Tour Ops,Italy,ABETTO,2016-06-11 00:00:00,1092.95665
649,1527,Tour Ops,Italy,ABETTO,2016-06-18 00:00:00,1193.050043
649,1528,Tour Ops,Italy,ABETTO,2016-06-25 00:00:00,1257.000546
649,1529,Tour Ops,Italy,ABETTO,2016-07-02 00:00:00,1098.829393
649,1530,Tour Ops,Italy,ABETTO,2016-07-09 00:00:00,1177.679348
649,1531,Tour Ops,Italy,ABETTO,2016-07-16 00:00:00,1132.78494
649,1532,Tour Ops,Italy,ABETTO,2016-07-23 00:00:00,1639.737403
649,1533,Tour Ops,Italy,ABETTO,2016-07-30 00:00:00,1665.648974
649,1534,Tour Ops,Italy,ABETTO,2016-06-18 00:00:00,2424.694529
649,1535,Tour Ops,Italy,ABETTO,2016-06-25 00:00:00,2511.759669
649,1536,Tour Ops,Italy,ABETTO,2016-07-02 00:00:00,2555.888634
649,1537,Tour Ops,Italy,ABETTO,2016-07-09 00:00:00,2e-06
563,1538,Tour Ops,Italy,ABETTO,2016-06-12 00:00:00,2320.686434
563,1539,Tour Ops,Italy,ABETTO,2016-06-19 00:00:00,2248.143824
563,1540,Tour Ops,Italy,ABETTO,2016-06-26 00:00:00,2284.551326
563,1541,Tour Ops,Italy,ABETTO,2016-07-03 00:00:00,2341.216483
563,1542,Tour Ops,Italy,ABETTO,2016-07-10 00:00:00,2325.096891
563,1543,Tour Ops,Italy,ABETTO,2016-07-17 00:00:00,2384.109785
563,1544,Tour Ops,Italy,ABETTO,2016-07-24 00:00:00,2426.40987
563,1545,Tour Ops,Italy,ABETTO,2016-07-31 00:00:00,1610.843947
563,1546,Tour Ops,Italy,ABETTO,2016-08-07 00:00:00,1677.101742
563,1547,Tour Ops,Italy,ABETTO,2016-08-14 00:00:00,2179.028866
563,1548,Tour Ops,Italy,ABETTO,2016-08-21 00:00:00,2364.503914
563,1549,Tour Ops,Italy,ABETTO,2016-08-28 00:00:00,2324.783304
563,1550,Tour Ops,Italy,ABETTO,2016-09-04 00:00:00,2634.246108
563,1551,Tour Ops,Italy,ABETTO,2016-09-11 00:00:00,2631.490674
582,1552,CJ,Germany,CJUDIC,2016-08-02 00:00:00,1654.464361
688,1553,Tour Ops,France,TELFAS,2016-07-14 00:00:00,846.68196
688,1554,Tour Ops,France,TELFAS,2016-07-21 00:00:00,935.679825
688,1555,Tour Ops,France,TELFAS,2016-07-28 00:00:00,1981.254451
688,1556,Tour Ops,France,TELFAS,2016-08-04 00:00:00,2057.106793
688,1557,Tour Ops,France,TELFAS,2016-08-11 00:00:00,2096.457125
688,1558,Tour Ops,France,TELFAS,2016-08-18 00:00:00,2008.230246
688,1559,Tour Ops,France,TELFAS,2016-08-25 00:00:00,6867.474544
629,1560,CJ,United Kingdom,MHOLT,2016-05-18 00:00:00,4327.422826
794,1561,Tour Ops,United Kingdom,LBARBE,2016-05-28 00:00:00,132.0
794,1562,Tour Ops,United Kingdom,LBARBE,2016-05-28 00:00:00,132.0
794,1563,Tour Ops,United Kingdom,LBARBE,2016-05-28 00:00:00,363.38
777,1564,CJ,United Kingdom,JCAVAL,2016-09-18 00:00:00,9105.282382
489,1565,CJ,France,CBOUGE,2016-10-19 00:00:00,3141.245734
603,1566,CJ,Germany,IMUTLU,2017-06-15 00:00:00,3605.337438
326,1567,Tour Ops,Italy,ALONGH,2016-05-27 00:00:00,5163.241355
677,1568,CJ,Germany,SDROBJ,2016-07-10 00:00:00,-4319.188477
335,1569,CJ,Italy,SKOSEK,2016-06-20 00:00:00,921.752665
582,1570,CJ,Germany,CJUDIC,2016-07-13 00:00:00,1552.669462
670,1571,CJ,United Kingdom,PTODHU,2016-09-14 00:00:00,12665.376
378,1572,CJ,Austria,MGERNE,2016-06-18 00:00:00,6180.792278
582,1573,CJ,Germany,CJUDIC,2016-08-10 00:00:00,2068.989314
110,1574,CJ,USA,SMOORE,2016-09-12 00:00:00,23429.438133
374,1575,CJ,Germany,MHERTH,2016-07-19 00:00:00,398.639565
62,1576,Tour Ops,Austria,BEGGER,2017-10-21 00:00:00,3788.380632
698,1577,CJ,United Kingdom,CGRANT,2016-07-26 00:00:00,57270.72707
794,1578,Tour Ops,United Kingdom,LBARBE,2016-06-04 00:00:00,528.0
794,1579,Tour Ops,United Kingdom,LBARBE,2016-07-02 00:00:00,660.0
794,1580,Tour Ops,United Kingdom,LBARBE,2016-08-06 00:00:00,739.4
794,1581,Tour Ops,United Kingdom,LBARBE,2016-09-03 00:00:00,2781.8
794,1582,Tour Ops,United Kingdom,LBARBE,2016-06-04 00:00:00,528.0
794,1583,Tour Ops,United Kingdom,LBARBE,2016-07-02 00:00:00,660.0
794,1584,Tour Ops,United Kingdom,LBARBE,2016-08-06 00:00:00,528.0
794,1585,Tour Ops,United Kingdom,LBARBE,2016-09-03 00:00:00,2718.67
794,1586,Tour Ops,United Kingdom,LBARBE,2016-06-04 00:00:00,528.0
790,1587,CJ,Italy,SKOSEK,2016-10-17 00:00:00,10781.296933
794,1588,Tour Ops,United Kingdom,LBARBE,2016-07-02 00:00:00,631.91
794,1589,Tour Ops,United Kingdom,LBARBE,2016-08-06 00:00:00,528.0
794,1590,Tour Ops,United Kingdom,LBARBE,2016-09-03 00:00:00,396.0
351,1591,CJ,France,DCOUTE,2016-04-04 00:00:00,0.0
562,1592,CJ,Italy,SKOSEK,2016-08-09 00:00:00,1500.858369
562,1593,CJ,Italy,SKOSEK,2016-08-16 00:00:00,1486.670032
562,1594,CJ,Italy,SKOSEK,2016-08-23 00:00:00,-3e-06
334,1595,Tour Ops,France,TELFAS,2016-08-08 00:00:00,0.0
522,1596,CJ,Italy,SKOSEK,2016-05-30 00:00:00,1042.308912
522,1597,CJ,Italy,SKOSEK,2016-06-07 00:00:00,588.995252
522,1598,CJ,Italy,SKOSEK,2016-06-14 00:00:00,797.135964
522,1599,CJ,Italy,SKOSEK,2016-06-21 00:00:00,509.175811
522,1600,CJ,Italy,SKOSEK,2016-06-28 00:00:00,721.923885
522,1601,CJ,Italy,SKOSEK,2016-08-23 00:00:00,411.933015
522,1602,CJ,Italy,SKOSEK,2016-08-30 00:00:00,1430.884457
522,1603,CJ,Italy,SKOSEK,2016-09-06 00:00:00,6312.681839
522,1604,CJ,Italy,SKOSEK,2016-09-13 00:00:00,6312.68184
522,1605,CJ,Italy,SKOSEK,2016-09-20 00:00:00,429.573848
522,1606,CJ,Italy,SKOSEK,2016-09-27 00:00:00,6312.68184
113,1607,CJ,USA,SMOORE,2016-06-16 00:00:00,39575.308218
326,1608,Tour Ops,Italy,ALONGH,2016-06-03 00:00:00,6783.088178
600,1609,CJ,France,TELFAS,2016-09-29 00:00:00,1580.705401
398,1610,CJ,Germany,IMUTLU,2016-08-03 00:00:00,2713.961121
370,1611,CJ,United Kingdom,DTUGWE,2016-08-06 00:00:00,3503.2
653,1612,CJ,United Kingdom,MHOLT,2017-05-03 00:00:00,104222.84184
115,1613,CJ,Italy,EMEAZZ,2016-05-31 00:00:00,4923.961307
102,1614,CJ,France,DHOPFG,2016-06-02 00:00:00,51.015642
813,1615,CJ,Germany,SDROBJ,2016-05-27 00:00:00,55502.695845
813,1616,CJ,Germany,SDROBJ,2016-06-01 00:00:00,25682.932523
813,1617,CJ,Germany,SDROBJ,2016-07-01 00:00:00,52993.751483
336,1618,CJ,Italy,AALTAM,2016-05-31 00:00:00,567.634
111,1619,CJ,Italy,EMEAZZ,2016-05-31 00:00:00,396.447828
49,1620,Tour Ops,United Kingdom,LBARBE,2016-05-01 00:00:00,465.85
779,1621,Tour Ops,France,TELFAS,2016-05-27 00:00:00,1552.489693
116,1622,CJ,USA,JSILVA,2016-06-03 00:00:00,7143.660034
112,1623,CJ,United Kingdom,PTODHU,2016-06-16 00:00:00,3400.0
709,1624,CJ,France,SFEILL,2016-06-02 00:00:00,2101.330842
510,1625,CJ,Italy,CLEGRO,2016-06-29 00:00:00,3023.215814
688,1626,Tour Ops,France,TELFAS,2016-10-08 00:00:00,1041.228668
688,1627,Tour Ops,France,TELFAS,2016-10-15 00:00:00,1046.825938
688,1628,Tour Ops,France,TELFAS,2016-10-22 00:00:00,1042.08191
688,1629,Tour Ops,France,TELFAS,2016-10-29 00:00:00,921.501706
783,1630,CJ,Germany,CJUDIC,2016-09-07 00:00:00,3954.680815
792,1631,CJ,Italy,DROSA,2016-05-29 00:00:00,2418.331748
483,1632,CJ,France,SFEILL,2017-05-04 00:00:00,4522.373879
447,1633,Tour Ops,France,TELFAS,2016-06-25 00:00:00,16528.227879
706,1634,CJ,Italy,DROSA,2016-06-30 00:00:00,852.47517
369,1635,CJ,United Kingdom,DTUGWE,2016-08-16 00:00:00,794.311632
520,1636,CJ,Germany,SDROBJ,2016-08-16 00:00:00,6917.445089
513,1637,Tour Ops,Italy,ABETTO,2016-06-03 00:00:00,527.208344
396,1638,CJ,Austria,MTRULL,2016-08-02 00:00:00,7747.201885
513,1639,Tour Ops,Italy,ABETTO,2016-06-10 00:00:00,817.300957
353,1640,CJ,Italy,AALTAM,2016-06-05 00:00:00,7089.236516
649,1641,Tour Ops,Italy,ABETTO,2016-06-11 00:00:00,2935.380185
743,1642,CJ,United Kingdom,MHOLT,2016-07-22 00:00:00,3416.251261
649,1643,Tour Ops,Italy,ABETTO,2016-06-18 00:00:00,2903.206476
649,1644,Tour Ops,Italy,ABETTO,2016-06-25 00:00:00,2863.864892
649,1645,Tour Ops,Italy,ABETTO,2016-07-02 00:00:00,2865.443329
649,1646,Tour Ops,Italy,ABETTO,2016-07-09 00:00:00,3010.029265
649,1647,Tour Ops,Italy,ABETTO,2016-07-16 00:00:00,2956.92478
649,1648,Tour Ops,Italy,ABETTO,2016-07-23 00:00:00,0.0
649,1649,Tour Ops,Italy,ABETTO,2016-07-30 00:00:00,-1e-06
439,1650,CJ,United Kingdom,DTUGWE,2016-10-22 00:00:00,3285.0
711,1651,CJ,France,KRIGHI,2016-10-25 00:00:00,9906.476113
382,1652,Tour Ops,Austria,BEGGER,2016-08-28 00:00:00,14228.561811
382,1653,Tour Ops,Austria,BEGGER,2016-09-01 00:00:00,2739.4318
382,1654,Tour Ops,Austria,BEGGER,2016-09-05 00:00:00,5704.997432
382,1655,Tour Ops,Austria,BEGGER,2016-09-08 00:00:00,2127.759712
382,1656,Tour Ops,Austria,BEGGER,2016-09-12 00:00:00,5617.824749
382,1657,Tour Ops,Austria,BEGGER,2016-09-15 00:00:00,5557.787096
382,1658,Tour Ops,Austria,BEGGER,2016-09-19 00:00:00,7240.578471
382,1659,Tour Ops,Austria,BEGGER,2016-09-22 00:00:00,-17984.169092
382,1660,Tour Ops,Austria,BEGGER,2016-09-26 00:00:00,-1879.839125
326,1661,Tour Ops,Italy,ALONGH,2016-06-10 00:00:00,4690.100395
606,1662,CJ,United Kingdom,PTODHU,2016-06-14 00:00:00,851.353843
563,1663,Tour Ops,Italy,ABETTO,2016-08-08 00:00:00,2089.017923
563,1664,Tour Ops,Italy,ABETTO,2016-08-15 00:00:00,2183.236555
563,1665,Tour Ops,Italy,ABETTO,2016-08-22 00:00:00,2213.144829
563,1666,Tour Ops,Italy,ABETTO,2016-08-29 00:00:00,2180.375324
563,1667,Tour Ops,Italy,ABETTO,2016-09-05 00:00:00,2333.647098
351,1668,CJ,USA,SMOORE,2016-06-15 00:00:00,4132.516013
28,1669,CJ,Germany,CJUDIC,2016-12-05 00:00:00,7220.419852
762,1670,CJ,United Kingdom,CGRANT,2016-05-05 00:00:00,7167.620691
47,1671,CJ,Italy,CLEGRO,2016-08-30 00:00:00,5357.342423
343,1672,CJ,United Kingdom,CGRANT,2016-10-03 00:00:00,34500.625969
343,1673,CJ,United Kingdom,CGRANT,2016-10-24 00:00:00,20684.606413
705,1674,CJ,United Kingdom,CGRANT,2016-07-26 00:00:00,28639.341673
370,1675,CJ,United Kingdom,DTUGWE,2016-07-07 00:00:00,3187.392338
774,1676,Tour Ops,Italy,ALONGH,2016-06-19 00:00:00,2976.698576
63,1677,CJ,Italy,CLEGRO,2016-07-07 00:00:00,3621.468892
326,1678,Tour Ops,Italy,ALONGH,2016-06-17 00:00:00,1485.905516
465,1679,CJ,Germany,MHERTH,2016-09-15 00:00:00,5102.755435
743,1680,CJ,United Kingdom,MHOLT,2016-07-30 00:00:00,3182.621261
447,1681,Tour Ops,France,TELFAS,2016-07-17 00:00:00,2773.866963
51,1682,CJ,Italy,CLEGRO,2016-06-11 00:00:00,2336.368589
583,1683,Tour Ops,France,TELFAS,2016-06-12 00:00:00,0.0
540,1684,Tour Ops,France,TELFAS,2016-10-07 00:00:00,6746.825938
327,1685,Tour Ops,France,TELFAS,2016-07-15 00:00:00,822.376019
327,1686,Tour Ops,France,TELFAS,2016-07-29 00:00:00,1021.632524
327,1687,Tour Ops,France,TELFAS,2016-08-05 00:00:00,835.655982
327,1688,Tour Ops,France,TELFAS,2016-08-12 00:00:00,846.755871
327,1689,Tour Ops,France,TELFAS,2016-08-19 00:00:00,804.855678
327,1690,Tour Ops,France,TELFAS,2016-08-26 00:00:00,769.01456
399,1691,CJ,France,KRIGHI,2017-01-25 00:00:00,23995.041395
601,1692,Tour Ops,Austria,BEGGER,2017-04-07 00:00:00,4449.723566
353,1693,CJ,Turkey,CCAG,2016-06-14 00:00:00,876.538922
593,1694,CJ,Germany,IMUTLU,2017-03-12 00:00:00,3490.091569
11,1695,CJ,Italy,EMEAZZ,2016-08-06 00:00:00,-51540.637304
11,1696,CJ,Italy,EMEAZZ,2016-07-31 00:00:00,3217.556682
777,1697,CJ,United Kingdom,JCAVAL,2016-07-06 00:00:00,987.77
535,1698,CJ,United Kingdom,PTODHU,2016-08-03 00:00:00,10544.324636
720,1699,CJ,Italy,EMEAZZ,2016-08-09 00:00:00,1215.718779
774,1700,Tour Ops,Italy,ALONGH,2016-06-26 00:00:00,3458.915091
326,1701,Tour Ops,Italy,ALONGH,2016-06-24 00:00:00,1554.58012
486,1702,Tour Ops,Austria,BEGGER,2016-07-08 00:00:00,3022.273199
783,1703,CJ,Germany,MHERTH,2016-06-25 00:00:00,1683.399488
45,1704,CJ,United Kingdom,YABDEL,2017-01-20 00:00:00,4265.946437
458,1705,CJ,United Kingdom,MHOLT,2016-06-22 00:00:00,1437.76824
62,1706,Tour Ops,Austria,BEGGER,2016-06-25 00:00:00,2009.494903
351,1707,CJ,France,DCOUTE,2016-06-20 00:00:00,326.344463
63,1708,CJ,Italy,CLEGRO,2016-07-07 00:00:00,5485.248754
783,1709,CJ,Germany,MHERTH,2016-07-01 00:00:00,4212.60777
828,1710,CJ,United Kingdom,CGRANT,2016-06-24 00:00:00,867.404676
33,1711,CJ,Italy,CLEGRO,2016-06-27 00:00:00,3495.166939
120,1712,CJ,Italy,EMEAZZ,2016-06-26 00:00:00,13572.604876
789,1713,CJ,United Kingdom,NCOOPE,2016-09-23 00:00:00,766.141428
593,1714,CJ,Germany,IMUTLU,2017-05-12 00:00:00,13148.661025
353,1715,CJ,Italy,CLEGRO,2016-06-27 00:00:00,2725.503929
828,1716,CJ,United Kingdom,CGRANT,2016-06-27 00:00:00,2842.276423
774,1717,Tour Ops,Italy,ALONGH,2016-07-03 00:00:00,3069.192437
62,1718,Tour Ops,Austria,BEGGER,2016-07-02 00:00:00,1679.190066
326,1719,Tour Ops,Italy,ALONGH,2016-07-01 00:00:00,6617.337661
828,1720,CJ,United Kingdom,CGRANT,2016-06-29 00:00:00,3500.0
354,1721,CJ,Germany,MHERTH,2016-06-06 00:00:00,17766.363141
29,1722,CJ,United Kingdom,JCAVAL,2016-07-13 00:00:00,3500.0
396,1723,CJ,Austria,MTRULL,2016-08-10 00:00:00,6889.808969
536,1724,CJ,Germany,SDROBJ,2016-09-05 00:00:00,52054.064692
536,1725,CJ,Germany,SDROBJ,2016-08-08 00:00:00,38727.594041
494,1726,CJ,France,DHOPFG,2016-07-07 00:00:00,16873.94626
807,1727,CJ,Germany,CJUDIC,2016-07-15 00:00:00,1445.2094
342,1728,CJ,France,ALAUNA,2016-07-30 00:00:00,1505.971687
433,1729,CJ,France,ALAUNA,2016-11-23 00:00:00,7077.537721
486,1730,Tour Ops,Austria,BEGGER,2016-07-15 00:00:00,3034.414303
486,1731,Tour Ops,Austria,BEGGER,2016-07-22 00:00:00,2855.129324
486,1732,Tour Ops,Austria,BEGGER,2016-07-29 00:00:00,2610.345649
486,1733,Tour Ops,Austria,BEGGER,2016-08-05 00:00:00,2868.804177
486,1734,Tour Ops,Austria,BEGGER,2016-08-12 00:00:00,2969.056639
486,1735,Tour Ops,Austria,BEGGER,2016-08-19 00:00:00,2969.056639
486,1736,Tour Ops,Austria,BEGGER,2016-08-26 00:00:00,2932.559121
486,1737,Tour Ops,Austria,BEGGER,2016-09-02 00:00:00,2781.678936
486,1738,Tour Ops,Austria,BEGGER,2016-09-09 00:00:00,3215.060762
486,1739,Tour Ops,Austria,BEGGER,2016-09-16 00:00:00,3544.052719
486,1740,Tour Ops,Austria,BEGGER,2016-09-23 00:00:00,4710.465518
688,1741,Tour Ops,France,TELFAS,2016-07-14 00:00:00,2773.58222
527,1742,CJ,Italy,AALTAM,2016-07-13 00:00:00,9549.442384
351,1743,CJ,Italy,AALTAM,2016-09-15 00:00:00,2485.803526
688,1744,Tour Ops,France,TELFAS,2016-07-13 00:00:00,1836.06739
688,1745,Tour Ops,France,TELFAS,2016-07-20 00:00:00,1960.72135
774,1746,Tour Ops,Italy,ALONGH,2016-07-10 00:00:00,3112.932057
519,1747,CJ,Italy,EMEAZZ,2016-07-11 00:00:00,1385.747054
755,1748,CJ,Italy,DROSA,2016-07-20 00:00:00,3051.285299
755,1749,CJ,Italy,DROSA,2016-08-03 00:00:00,2918.025752
696,1750,Tour Ops,United Kingdom,EGREEN,2016-07-16 00:00:00,943.931224
762,1751,CJ,United Kingdom,CGRANT,2016-06-02 00:00:00,9512.791559
762,1752,CJ,United Kingdom,CGRANT,2016-07-07 00:00:00,4226.891473
