HashEncode_0,HashEncode_1,HashEncode_2,HashEncode_3,HashEncode_4,HashEncode_5,HashEncode_6,HashEncode_7,companyid,Round_trip,ProfitMargin(%),Scaled_gross_log,Scaled_Distance_log,Scaled_FlightTime_log,Country_France,Country_Germany,Country_Italy,Country_Monaco,Country_Other,Country_Sweden,Country_Switzerland,Country_Turkey,Country_United Kingdom,Country_United States,Product_Tour Ops,passengersRange_1,passengersRange_2,passengersRange_3,categ_aircraft,categ_0,categ_1,categ_2,categ_3,categ_4,categ_5
0,0,0,0,0,2,0,0,2825,0,2,0.4188474704138966,0.21988812059768825,0.3174290386044471,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1358.5,0.0,0.0,0.0,0.0,0.0
0,0,0,1,1,0,0,0,2825,0,1,0.37428118317646897,0.26649218272784647,0.33538469915249297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1030.35,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,1,0,0,2825,0,1,0.37428118317646897,0.26649218272784647,0.33538469915249297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1030.35,0.0,0.0,0.0,0.0,0.0
0,0,0,1,1,0,0,0,2825,0,2,0.42309919341281527,0.21988812059768825,0.2592310874020405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1394.81,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,1,0,0,2825,0,2,0.42309919341281527,0.21988812059768825,0.2592310874020405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1394.81,0.0,0.0,0.0,0.0,0.0
1,0,0,0,1,0,0,0,3236,0,4,0.6272303734738123,0.3546823991261884,0.38284769693193527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4948.861761,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,0,1,0,3018,0,4,0.7326152318694854,0.2454498401287467,0.24559662936378404,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,9515.761676
0,0,0,1,0,0,1,0,3573,0,1,0.5315422693043295,0.48967282462743206,0.4402273532863391,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2733.336093,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,0,1,0,3573,0,1,0.5315422693043295,0.48967282462743206,0.4402273532863391,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2733.336093,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,0,1,0,3573,0,1,0.5315422693043295,0.48967282462743206,0.4499923169774957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2733.336093,0.0,0.0,0.0,0.0,0.0
0,0,0,1,1,0,0,0,3020,1,0,0.2747611805978204,0.5829509222452636,0.5750121092887127,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,555.71
0,0,0,0,1,0,1,0,3194,1,2,0.5907487803528878,0.5287650948755455,0.5630256679682311,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,3946.508405,0.0,0.0,0.0,0.0
0,0,0,1,1,0,0,0,3793,1,0,0.47121700473275135,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.004049,0.0
0,0,0,1,1,0,0,0,3793,1,0,0.47121700473275135,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.004049,0.0
0,0,0,1,1,0,0,0,3793,1,0,0.47121700473275135,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.004049,0.0
0,0,0,1,1,0,0,0,3793,1,0,0.47121700473275135,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.004049,0.0
0,0,0,1,1,0,0,0,3793,1,0,0.4712166575740056,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.0,0.0
0,0,0,1,1,0,0,0,3793,1,0,0.4712166575740056,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.0,0.0
0,0,0,1,1,0,0,0,3793,1,0,0.4712166575740056,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.0,0.0
0,0,0,1,1,0,0,0,3793,1,0,0.4712166575740056,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0.0,0.0,0.0,0.0,1880.0,0.0
0,0,0,1,1,0,0,0,3793,1,0,0.48852821677953046,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0.0,0.0,0.0,0.0,0.0,2093.15
0,0,0,1,1,0,0,0,3793,1,0,0.48852821677953046,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0.0,0.0,0.0,0.0,0.0,2093.15
0,0,0,1,1,0,0,0,3793,1,0,0.48852821677953046,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0.0,0.0,0.0,0.0,0.0,2093.15
0,0,0,1,1,0,0,0,3793,1,0,0.48852821677953046,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0.0,0.0,0.0,0.0,0.0,2093.15
0,0,0,1,1,0,0,0,3793,1,0,0.48852821677953046,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0.0,0.0,0.0,0.0,0.0,2093.15
0,0,0,1,1,0,0,0,3793,1,0,0.3315636067398636,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0.0,790.48,0.0,0.0,0.0,0.0
0,0,0,1,1,0,0,0,3793,1,0,0.3315636067398636,0.433900468697524,0.47154056579028775,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0.0,790.48,0.0,0.0,0.0,0.0
0,0,0,1,1,0,0,0,2980,1,3,0.46661335768263373,0.433096288933873,0.4305174976293703,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1827.07
0,0,0,1,1,0,0,0,2980,1,3,0.46661335768263373,0.460099767403583,0.4494325676346799,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1827.07
0,0,0,1,1,0,0,0,2980,1,3,0.46661335768263373,0.433096288933873,0.4305174976293703,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1827.07
0,0,0,1,1,0,0,0,2980,1,3,0.46661335768263373,0.460099767403583,0.4494325676346799,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1827.07
0,0,0,1,1,0,0,0,2980,1,3,0.46661335768263373,0.433096288933873,0.4305174976293703,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1827.07
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.460099767403583,0.47975958078725944,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456
0,0,0,1,1,0,0,0,2980,1,1,0.7954096358543858,0.433096288933873,0.4675367678244802,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0.0,0.0,0.0,0.0,0.0,14048.51456
