Flight date,Accountid,enqid,product,brokercountry,owner,Grossprofit
2017-03-30 00:00:00,158,2561,CJ,Italy,DROSA,3262.353147
2017-05-06 00:00:00,793,2562,Tour Ops,Germany,CJUDIC,1928.489979
2017-02-23 00:00:00,396,2563,CJ,Austria,MTRULL,8574.786876
2017-01-24 00:00:00,724,2564,CJ,France,KRIGHI,3849.4255789999997
2017-06-27 00:00:00,159,2565,CJ,Germany,MHERTH,2266.7008809999998
2017-01-23 00:00:00,813,2566,CJ,Germany,CJUDIC,1609.317452
2017-03-02 00:00:00,396,2567,CJ,Austria,BEGGER,13242.907740999999
2017-04-20 00:00:00,783,2568,CJ,Germany,MHERTH,6284.55425
2017-10-21 00:00:00,793,2569,Tour Ops,Germany,CJUDIC,3043.595023
2017-10-01 00:00:00,793,2570,Tour Ops,Germany,CJUDIC,72166.565222
2017-04-28 00:00:00,162,2571,CJ,Italy,EMEAZZ,1814.098134
2017-02-05 00:00:00,520,2572,CJ,Germany,IMUTLU,6174.2185469999995
2017-06-21 00:00:00,827,2573,CJ,Germany,MHERTH,4355.102215999999
2017-11-17 00:00:00,660,2574,CJ,Germany,IMUTLU,11961.933735999999
2017-09-20 00:00:00,163,2575,CJ,Italy,DROSA,7528.2002170000005
2017-07-06 00:00:00,164,2576,CJ,Italy,EMEAZZ,2061.7396670000003
2017-05-05 00:00:00,743,2577,CJ,United Kingdom,MHOLT,1468.83
2017-05-12 00:00:00,743,2578,CJ,United Kingdom,MHOLT,5045.95
2017-06-16 00:00:00,126,2579,CJ,France,KRIGHI,7137.114017
2017-05-19 00:00:00,150,2580,CJ,Germany,ASEYLE,7854.310645999999
2017-05-15 00:00:00,350,2581,CJ,Germany,MHERTH,12308.327573999999
2017-09-06 00:00:00,593,2582,CJ,Germany,IMUTLU,5423.851204
2017-02-22 00:00:00,478,2583,CJ,Germany,SDROBJ,14208.214931
2017-03-01 00:00:00,166,2584,CJ,Italy,EMEAZZ,4337.5431960000005
2017-10-11 00:00:00,184,2585,CJ,France,CBOUGE,4865.115031
2017-05-15 00:00:00,350,2586,CJ,Germany,MHERTH,8934.606083
2018-04-08 00:00:00,8,2587,Tour Ops,United Kingdom,AMURR,11009.57
2018-08-11 00:00:00,716,2588,CJ,Austria,BEGGER,2661.698163
2017-03-08 00:00:00,593,2589,CJ,Germany,IMUTLU,863.8562539999999
2017-02-12 00:00:00,15,2590,CJ,Italy,EMEAZZ,1723.930078
2017-03-07 00:00:00,145,2591,CJ,Germany,SDROBJ,-3803.5590850000003
2017-03-04 00:00:00,559,2592,CJ,Italy,DROSA,1779.0255710000001
2017-05-04 00:00:00,167,2593,Tour Ops,Austria,BEGGER,3285.76365
2017-01-26 00:00:00,154,2594,CJ,Italy,CLEGRO,2123.137354
2017-04-28 00:00:00,722,2595,Tour Ops,Austria,BEGGER,1824.032482
2016-12-19 00:00:00,27,2596,CJ,Italy,CLEGRO,11751.977794
2017-02-13 00:00:00,683,2597,CJ,Austria,BEGGER,378.88573199999996
2017-05-16 00:00:00,399,2598,CJ,France,KRIGHI,9732.872140000001
2017-02-15 00:00:00,619,2599,CJ,Italy,SKOSEK,2988.2373190000003
2017-05-13 00:00:00,531,2600,Tour Ops,Austria,BEGGER,2131.9972329999996
2017-09-19 00:00:00,163,2601,CJ,Italy,DROSA,1732.3121800000001
2017-04-04 00:00:00,783,2602,CJ,Germany,MHERTH,2565.221148
2017-06-10 00:00:00,760,2603,CJ,Italy,CLEGRO,85.535882
2017-06-01 00:00:00,66,2604,CJ,France,DHOPFG,0.0
2017-03-08 00:00:00,396,2605,CJ,Austria,MTRULL,8632.947477
2017-04-01 00:00:00,434,2606,CJ,Italy,SKOSEK,1096.1472
2017-01-30 00:00:00,33,2607,CJ,Italy,CLEGRO,6571.794223
2017-01-04 00:00:00,351,2608,CJ,USA,JSILVA,425.70510199999995
2017-11-12 00:00:00,364,2609,CJ,Austria,MTRULL,2083.08254
2018-05-22 00:00:00,590,2610,CJ,United Kingdom,YABDEL,5108.322851
2017-11-30 00:00:00,758,2611,CJ,Italy,SKOSEK,6421.458468
2017-05-14 00:00:00,712,2612,CJ,France,SFEILL,5877.34969
2017-02-01 00:00:00,439,2613,CJ,United Kingdom,DTUGWE,67.273984
2017-02-21 00:00:00,823,2614,CJ,United Kingdom,MHOLT,5525.018292
2017-02-10 00:00:00,743,2615,CJ,United Kingdom,MHOLT,1728.75
2017-02-01 00:00:00,471,2616,CJ,Germany,MHERTH,8611.039352
2017-05-31 00:00:00,752,2617,CJ,USA,SMOORE,52192.01378
2017-06-07 00:00:00,752,2618,CJ,USA,SMOORE,359034.75631799997
2017-06-17 00:00:00,749,2619,Tour Ops,Austria,BEGGER,408.476609
2017-06-11 00:00:00,364,2620,CJ,Austria,MTRULL,7253.442819
2017-06-19 00:00:00,343,2621,CJ,United Kingdom,CGRANT,74439.609671
2017-06-15 00:00:00,641,2622,CJ,Italy,DROSA,4634.214352
2017-10-05 00:00:00,741,2623,CJ,France,CBOUGE,24732.405340999998
